Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Willy HernangÃ³mez,3.2,5.7,1.3,2.0,0.0,7.1,1.1,0.5,0.5,0.7,7.8,18.0,47.0,C,,['C']
Chuma Okeke,3.0,7.2,0.7,0.9,1.1,4.0,2.2,1.1,0.5,0.8,7.8,25.2,45.0,PF,,['PF']
Anfernee Simons,2.6,6.3,0.7,0.9,1.9,2.2,1.4,0.3,0.1,0.7,7.8,17.3,64.0,SG,,['SG']
D.J. Augustin,2.4,6.0,1.5,1.6,1.5,1.6,3.3,0.5,0.0,1.1,7.7,19.8,57.0,PG,,['PG']
D.J. Augustin,1.9,5.2,1.0,1.1,1.3,1.4,3.0,0.5,0.0,0.9,6.1,19.3,37.0,PG,,['PG']
D.J. Augustin,3.2,7.6,2.5,2.7,1.7,2.2,3.9,0.4,0.0,1.6,10.6,20.8,20.0,PG,,['PG']
Ben McLemore,2.5,6.9,0.7,1.0,1.8,1.9,0.7,0.4,0.2,0.8,7.7,17.1,53.0,SG,,['SG']
Ben McLemore,2.5,7.0,0.7,1.0,1.7,2.1,0.9,0.6,0.1,0.9,7.4,16.8,32.0,SG,,['SG']
Ben McLemore,2.6,6.7,0.8,1.0,2.0,1.6,0.5,0.1,0.3,0.7,8.0,17.5,21.0,SG,,['SG']
PJ Dozier,3.0,7.1,0.8,1.3,0.9,3.6,1.8,0.6,0.4,0.9,7.7,21.8,50.0,SG,,['SG']
Mike James,2.6,7.1,1.6,2.1,0.8,2.5,4.2,0.5,0.1,1.5,7.7,18.2,13.0,PG,,['PG']
Naji Marshall,2.6,6.5,1.7,2.3,0.9,4.6,2.8,0.8,0.3,1.2,7.7,21.9,32.0,SF,,['SF']
Payton Pritchard,2.8,6.3,0.6,0.7,1.5,2.4,1.8,0.6,0.1,0.8,7.7,19.2,66.0,SG,,['SG']
TomÃ¡Å¡ SatoranskÃ½,2.9,5.7,1.2,1.4,0.7,2.4,4.7,0.7,0.2,1.7,7.7,22.5,58.0,SG,,['SG']
Isaiah Thomas,3.0,9.0,0.7,0.7,1.0,1.3,1.7,0.3,0.0,2.0,7.7,16.0,3.0,PG,,['PG']
Steven Adams,3.3,5.3,1.0,2.3,0.0,8.9,1.9,0.9,0.7,1.3,7.6,27.7,58.0,C,,['C']
Garrett Temple,2.8,6.8,0.7,0.9,1.2,2.9,2.2,0.8,0.5,1.0,7.6,27.3,56.0,SG,,['SG']
Tristan Thompson,3.1,6.0,1.3,2.2,0.0,8.1,1.2,0.4,0.6,1.1,7.6,23.8,54.0,C,,['C']
Patrick Beverley,2.5,5.9,1.0,1.2,1.5,3.2,2.1,0.8,0.8,0.9,7.5,22.5,37.0,PG,,['PG']
Henry Ellenson,2.5,7.0,1.5,2.0,1.0,6.0,2.5,0.0,0.0,0.0,7.5,19.0,2.0,PF,,['PF']
Malachi Flynn,2.7,7.2,1.0,1.2,1.1,2.5,2.9,0.8,0.1,0.9,7.5,19.7,47.0,PG,,['PG']
Jaxson Hayes,2.9,4.7,1.6,2.0,0.1,4.3,0.6,0.4,0.6,0.7,7.5,16.1,60.0,C,,['C']
DeAndre Jordan,3.3,4.4,0.8,1.6,0.0,7.5,1.6,0.3,1.1,1.5,7.5,21.9,57.0,C,,['C']
